,title,authors
26,Compact native code generation for dynamic languages on micro-core architectures,"[('Maurice Jamieson', '/profile/99659676585'), ('Nick Brown', '/profile/81553102056')]"
27,Improving Humanitarian Aid Information Management Workflow for Disaster Relief Team,"[('Suzila Mohd', '/profile/99659669571'), ('Mohamad Syazli Fathi', '/profile/81557915456'), ('Aizul Nahar Harun', '/profile/99659670486')]"
28,Cloud Computing Operation Management Platform for Internet of Things of Construction Machinery,"[('Lei Wu', '/profile/99660026591'), ('Xianjin Lin', '/profile/99660044960')]"
29,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
30,Representation of humanitarian aid/disaster relief missions with an agent based model to analyze optimal resource placement,"[('Andrew Turner', '/profile/99659397287'), ('Santiago Balestrini-Robinson', '/profile/81553176756'), ('Dimitri Mavris', '/profile/81100498103')]"
31,Exploring Sequence Feature Alignment for Domain Adaptive Detection Transformers,"[('Wen Wang', '/profile/99659894802'), ('Yang Cao', '/profile/81474676316'), ('Jing Zhang', '/profile/99659565067'), ('Fengxiang He', '/profile/99659896496'), ('Zheng-Jun Zha', '/profile/81337494695'), ('Yonggang Wen', '/profile/81486648394'), ('Dacheng Tao', '/profile/81100159571')]"
32,Health aspects of wireless communication: personal wireless communication radiation and the eye lens,"[('James C. Lin', '/profile/81408601752')]"
33,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
34,Except for exception handling …,"[('Alexander Romanovsky', '/profile/81100534443'), ('Bo Sandén', '/profile/81100003908')]"
35,Predicting Viewer Perceived Emotions in Animated GIFs,"[('Brendan Jou', '/profile/81508707239'), ('Subhabrata Bhattacharya', '/profile/81314480999'), ('Shih-Fu Chang', '/profile/81406599942')]"
36,An operational semantics of multitasking and exception handling in Ada,"[('Wei Li', '/profile/99659337245')]"
37,Semantic type qualifiers,"[('Brian Chin', '/profile/81100656814'), ('Shane Markstrum', '/profile/81100292142'), ('Todd Millstein', '/profile/81100018064')]"
38,Relational semantics for effect-based program transformations: higher-order store,"[('Nick Benton', '/profile/81100165244'), ('Andrew Kennedy', '/profile/81100450709'), ('Lennart Beringer', '/profile/81335488012'), ('Martin Hofmann', '/profile/81452607849')]"
39,Highly Scalable Genotype Phasing by Entropy Minimization,"[('Alexander Gusev', '/profile/81367596424'), ('Ion I. Măndoiu', '/profile/81100460267'), ('Bogdan Paşaniuc', '/profile/81367590849')]"
40,Crisis communication: a comparative study of communication patterns across crisis events in social media,"[('Hernan Sarmiento', '/profile/99659273067'), ('Barbara Poblete', '/profile/81100509285')]"
41,Predatory scholarly publishing,"[('Moshe Y. Vardi', '/profile/81100371692')]"
42,Session details: Homeland security/emergency response: simulation for emergency management,"[('Sanjay Jain', '/profile/81553178056')]"
43,"Coloniality, reproduction, and the climate crisis, or: how do we survive when the land is crumbling under our feet?","[('Luiza Prado de Oliveira Martins', '/profile/99659668360')]"
44,A cognitive account of collective emergence in design,"[('Benjamin G. Shaw', '/profile/81413602085')]"
45,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
46,Crisis communication: a comparative study of communication patterns across crisis events in social media,"[('Hernan Sarmiento', '/profile/99659273067'), ('Barbara Poblete', '/profile/81100509285')]"
47,A blockchain based incentive scheme for post disaster opportunistic communication over DTN,"[('Chandrima Chakrabarti', '/profile/99659335342'), ('Souvik Basu', '/profile/81310502532')]"
48,Problems and Countermeasures for Disaster Reduction in China's Remote Rural Areas,"[('Ning Wang', '/profile/81321499313'), ('Hongyu Huang', '/profile/81490655233'), ('Yanzhang Wang', '/profile/99659624655'), ('Hui Li', '/profile/99659605226'), ('Liming Li', '/profile/81444602714')]"
49,"Network communities, community networks","[('John M. Carroll', '/profile/81350576124'), ('Mary Beth Rosson', '/profile/81335496622')]"
50,Decentralized Semantic Identity,"[('José G. Faísca', '/profile/99659077515'), ('José Q. Rogado', '/profile/99659078767')]"
51,Drone monitoring system for disaster areas,"[('Patrick Hock', '/profile/99659284151'), ('Koki Wakiyama', '/profile/99659445092'), ('Chika Oshima', '/profile/81100329356'), ('Koichi Nakayama', '/profile/81448599426')]"
52,Learn to Sketch (Even if You Can't Draw): Hands-on Sketching Course,"[('Stephanie Foehrenbach', '/profile/81442616146')]"
53,Hyperbolic geometry: an introduction for computer science students,"[('Edgar N. Reyes', '/profile/81467656516'), ('Carl Steidley', '/profile/81100178419')]"
54,Emergent geometry: procedural modeling through behavior,"[('/action/highlight?doi=10.1145%2F1280720.1280725&query=Title%3A%28Emergent+Complex+Network+Geometry%29Highlights', '#')]"
55,On the Pitfalls of Measuring Emergent Communication,"[('Ryan Lowe', '/profile/99659325531'), ('Jakob Foerster', '/profile/99659218441'), ('Y-Lan Boureau', '/profile/81508707140'), ('Joelle Pineau', '/profile/81100040835'), ('Yann Dauphin', '/profile/81488668253')]"
56,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
57,On the Pitfalls of Measuring Emergent Communication,"[('Ryan Lowe', '/profile/99659325531'), ('Jakob Foerster', '/profile/99659218441'), ('Y-Lan Boureau', '/profile/81508707140'), ('Joelle Pineau', '/profile/81100040835'), ('Yann Dauphin', '/profile/81488668253')]"
58,A framework for disaster management using wireless ad hoc networks,"[('Niranjan Kumar Ray', '/profile/81481645399'), ('Ashok Kumar Turuk', '/profile/81392606590')]"
59,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios,"[('Francesco Malandrino', '/profile/81418598897'), ('Cristina Rottondi', '/profile/83458796257'), ('Carla-Fabiana Chiasserini', '/profile/81100011731'), ('Andrea Bianco', '/profile/81100305196'), ('Ioannis Stavrakakis', '/profile/81100309658')]"
60,Quantifying Timing-Based Information Flow in Cryptographic Hardware,"[('Baolei Mao', '/profile/99658655350'), ('Wei Hu', '/profile/81466642370'), ('Alric Althoff', '/profile/99658759956'), ('Janarbek Matai', '/profile/81460656436'), ('Jason Oberg', '/profile/81414616009'), ('Dejun Mu', '/profile/81375600312'), ('Timothy Sherwood', '/profile/81100522468'), ('Ryan Kastner', '/profile/81100355123')]"
61,Intrinsically motivated exploration via intrinsic value calculation,"[('Benjamin W. Martin', '/profile/81501661354'), ('Itamar Arel', '/profile/81467645256')]"
62,Emergent ad hoc sensor network connectivity in large-scale disaster zones,"[('Osher Yadgar', '/profile/81100293733')]"
63,Simulating virtual crowds in emergency situations,"[('Adriana Braun', '/profile/81309491432'), ('Bardo E. J. Bodmann', '/profile/81309489204'), ('Soraia R. Musse', '/profile/81332517802')]"
64,Small disaster relief robots with swarm intelligence routing,"[('Subramanium Ganesan', '/profile/81458653757'), ('Manish Shakya', '/profile/81501674291'), ('Aqueel F. Aqueel', '/profile/81501679034'), ('Lakshmi M. Nambiar', '/profile/81501682817')]"
65,Resource management in a decentralized system,"[('Daniel H. Craft', '/profile/81100085927')]"
66,"Stochastic Geometry Modeling of Cellular Networks: Analysis, Simulation and Experimental Validation","[('Wei Lu', '/profile/99660779691'), ('Marco Di Renzo', '/profile/83358800057')]"
67,Semi-supervised truth discovery,"[('Xiaoxin Yin', '/profile/99659565257'), ('Wenzhao Tan', '/profile/81460649965')]"
68,Coordinating disaster emergency response with heuristic reinforcement learning,"[('Zhou Yang', '/profile/99659916642'), ('Long Nguyen', '/profile/99659459815'), ('Jiazhen Zhu', '/profile/99659916754'), ('Zhenhe Pan', '/profile/99659543368'), ('Jia Li', '/profile/99659917355'), ('Fang Jin', '/profile/99659459552')]"
69,Joint power and beamforming optimization of UAV-assisted NOMA networks for B5G-enabled smart cities,"[('Noor Waqar', '/profile/99659892541'), ('Syed Ali Hassan', '/profile/87259413757'), ('Aamir Mahmood', '/profile/99659278774'), ('Mikael Gidlund', '/profile/81100578122'), ('Haejoon Jung', '/profile/99659586717')]"
70,Event Detection on Curated Tweet Streams,"[('Nimesh Ghelani', '/profile/99659191005'), ('Salman Mohammed', '/profile/99659191761'), ('Shine Wang', '/profile/99659192603'), ('Jimmy Lin', '/profile/81471640432')]"
71,Attack Resilient Underwater Networks Through Software Defined Networking,"[('Giovanni Toso', '/profile/86158653857'), ('Daniele Munaretto', '/profile/81453659446'), ('Mauro Conti', '/profile/81331490994'), ('Michele Zorzi', '/profile/81100200991')]"
72,Social Media Effectiveness for Public Engagement: Example of Small Nonprofits,"[('Youyang Hou', '/profile/99658695768'), ('Cliff Lampe', '/profile/99659334068')]"
73,Service Structure Mechanism Based on Edge Computing in Emergency Disaster Recovery Scenario,"[('Ting Xing', '/profile/99659445621'), ('Kang Lu', '/profile/99659445598'), ('Mengyu Li', '/profile/99659445834'), ('Xushan Chen', '/profile/99659445873')]"
74,Reverse Engineering Human Mobility in Large-scale Natural Disasters,"[('Milan Stute', '/profile/99659221234'), ('Max Maass', '/profile/99658728748'), ('Tom Schons', '/profile/99658727246'), ('Matthias Hollick', '/profile/81100325093')]"
75,Public health management facing disaster response: a business process simulation perspective,"[('Emilio Sulis', '/profile/99659066439'), ('Antonio Di Leva', '/profile/81100170481')]"
76,Tracking Down Sources of Spoofed IP Packets,"[('Osvaldo Fonseca', '/profile/99658643617'), ('Ítalo Cunha', '/profile/81100566102'), ('Elverton Fazzion', '/profile/99658652630'), ('Brivaldo Junior', '/profile/99659295957'), ('Ronaldo A. Ferreira', '/profile/81100245036'), ('Ethan Katz-Bassett', '/profile/81319494709')]"
77,Collaborative symptoms interpretation for cardiac patients as diagnostic agents,"[('Maria Kjærup', '/profile/99659260330'), ('Stefania Kouzeli', '/profile/99659261979'), ('Mikael B. Skov', '/profile/81502723616'), ('Jesper Kjeldskov', '/profile/81548020677'), ('Charlotte S. Skov', '/profile/99658697105'), ('Peter Søgaard', '/profile/99659260462')]"
78,Building interstellar's black hole: the gravitational renderer,"[('Oliver James', '/profile/81320491067'), ('Sylvan Dieckmann', '/profile/99658729875'), ('Simon Pabst', '/profile/81351601516'), ('Paul-George H. Roberts', '/profile/99658729523'), ('Kip S. Thorne', '/profile/99658729325')]"
79,Generic behaviour similarity measures for evolutionary swarm robotics,"[('Jorge Gomes', '/profile/81488665678'), ('Anders L. Christensen', '/profile/81339494727')]"
80,Privacy-Utility Tradeoffs in Routing Cryptocurrency over Payment Channel Networks,"[('Weizhao Tang', '/profile/99659538875'), ('Weina Wang', '/profile/81557411656'), ('Giulia Fanti', '/profile/87959020057'), ('Sewoong Oh', '/profile/99659926677')]"
81,Twitter in disaster mode: opportunistic communication and distribution of sensor data in emergencies,"[('Theus Hossmann', '/profile/81367595196'), ('Franck Legendre', '/profile/81367597737'), ('Paolo Carta', '/profile/81492655292'), ('Per Gunningberg', '/profile/81100357694'), ('Christian Rohner', '/profile/81100072656')]"
82,Cellular hardware and symbolic computation,"[('T. Legendi', '/profile/81100304088')]"
83,ICT Practitioners’ Perception of Working from Home During the Covid-19 Pandemic: Exploring Gender Differences,"[('Edna Dias Canedo', '/profile/81508706852'), ('Angelica Calazans', '/profile/81100590415'), ('Geovana Silva', '/profile/99660243969'), ('Eloisa Masson', '/profile/99659657099')]"
84,Empirical evidence of information overload constraining chat channel community interactions,"[('Quentin Jones', '/profile/81100554718'), ('Mihai Moldovan', '/profile/81384592582'), ('Daphne Raban', '/profile/81310487460'), ('Brian Butler', '/profile/81100547938')]"
85,Bridging the Latency Gap between NVM and DRAM for Latency-bound Operations,"[('Georgios Psaropoulos', '/profile/99659228530'), ('Ismail Oukid', '/profile/89758806457'), ('Thomas Legler', '/profile/81100211597'), ('Norman May', '/profile/81100190328'), ('Anastasia Ailamaki', '/profile/81548007362')]"
86,Technology has social consequences,"[('Moshe Y. Vardi', '/profile/81100371692')]"
87,Mapping the Landscape of COVID-19 Crisis Visualizations,"[('Yixuan Zhang', '/profile/99659723371'), ('Yifan Sun', '/profile/99659092922'), ('Lace Padilla', '/profile/99659093633'), ('Sumit Barua', '/profile/99659702354'), ('Enrico Bertini', '/profile/81100628712'), ('Andrea G Parker', '/profile/81556858356')]"
88,Measurement of Inter-Frequency Small Cell in Heterogeneous Networks,"[('Hyung-Deug Bae', '/profile/81484650873'), ('Jae-Wook Shin', '/profile/87258877957'), ('Pyeong-Jung Song', '/profile/81460640541')]"
89,Scheduling Post-disaster Repairs in Electricity Distribution Networks with Uncertain Repair Times,"[('Yushi Tan', '/profile/99659526748'), ('Arindam K. Das', '/profile/99659528026'), ('Mareldi Ahumada-Paras', '/profile/99659526500'), ('Payman Arabshahi', '/profile/81100628634'), ('Daniel S. Kirschen', '/profile/81493647672')]"
90,Mobile phone usage data for disaster response,"[('Thomas R. C. Smallwood', '/profile/99660049061'), ('Véronique Lefebvre', '/profile/99660050015'), ('Linus Bengtsson', '/profile/99660050222')]"
91,Robots compete in disaster scenarios,"[('Logan Kugler', '/profile/81367598959')]"
92,Information requirements for national level cyber situational awareness,"[('Stefan Varga', '/profile/99659797650'), ('Joel Brynielsson', '/profile/81430640973'), ('Ulrik Franke', '/profile/81416596597')]"
93,An empirical assessment of IT disaster risk,"[('William Lewis', '/profile/99659411349'), ('Richard T. Watson', '/profile/81452614454'), ('Ann Pickren', '/profile/81100152556')]"
94,DENAS: automated rule generation by knowledge extraction from neural networks,"[('Simin Chen', '/profile/99659629325'), ('Soroush Bateni', '/profile/99659308393'), ('Sampath Grandhi', '/profile/99659646282'), ('Xiaodi Li', '/profile/99659633240'), ('Cong Liu', '/profile/81548031585'), ('Wei Yang', '/profile/99658631981')]"
95,On Emergent Communication in Competitive Multi-Agent Teams,"[('Paul Pu Liang', '/profile/99659217897'), ('Jeffrey Chen', '/profile/99659286843'), ('Ruslan Salakhutdinov', '/profile/81100562217'), ('Louis-Philippe Morency', '/profile/81100300540'), ('Satwik Kottur', '/profile/99659232298')]"
96,Community detection in social tagging systems based semantics of tags,"[('Mengmeng Shen', '/profile/99659273462'), ('Jun Wang', '/profile/81361596500'), ('Xingyan Liu', '/profile/99659274254')]"
97,Towards a 2-Way Communication and Analytics Platform for Emergency Response and Post-Emergency Recovery Efforts in Sierra Leone,"[('Meenal Pore', '/profile/99658767568'), ('Nuri Purswani', '/profile/99658766652'), ('Reginald E. Bryant', '/profile/88158850457'), ('Purity Mugambi', '/profile/99658765229'), ('Osamuyimen Stewart', '/profile/81413597445')]"
98,CO-ALERT: A Tool for Personalizing COVID-19 Emergency Alert Messages to Support Older Adults,"[('Minki Chun', '/profile/99659873933'), ('Suin Gwak', '/profile/99659872691'), ('Hyunggu Jung', '/profile/81488652289')]"
99,"Capacity, Bandwidth, and Compositionality in Emergent Language Learning","[('Cinjon Resnick', '/profile/99659336902'), ('Abhinav Gupta', '/profile/99659530143'), ('Jakob Foerster', '/profile/99659218441'), ('Andrew M. Dai', '/profile/99659048763'), ('Kyunghyun Cho', '/profile/81488664147')]"
100,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
101,Session details: Session 3: Emerging Networking Paradigms,"[('Kay Römer', '/profile/81100411905')]"
102,"Activity-based prototyping of ubicomp applications for long-lived, everyday human activities","[('Yang Li', '/profile/81350580013'), ('James A. Landay', '/profile/81100103519')]"
103,Emergent leadership in small groups using computer-mediated communication,"[('Ryoko Yamaguchi', '/profile/81447594504'), ('Nathan Bos', '/profile/81100632322'), ('Judy Olson', '/profile/81350567367')]"
104,Emergent gummy modules: modular representation of emergent behavior,"[('Somayeh Malakuti', '/profile/81453631397'), ('Mehmet Aksit', '/profile/81100296736')]"
105,Investigating the Role of Moral Decision-Making in Emerging Artificial Intelligence Technologies,"[('Sarah Joy Bennett', '/profile/99659481546')]"
106,P2P VoD using the self-organizing gradient overlay network,"[('Gautier Berthou', '/profile/81464672753'), ('Jim Dowling', '/profile/81100518315')]"
107,Does Spread Really Reflect the Crisis?: The Empirical Evidence from China Bond Market,"[('Yun Xie', '/profile/99659305389'), ('Yi-xiang Tian', '/profile/99659306708')]"
108,Simulation based analysis on different logistics solutions for fresh food supply chain,"[('Agostino G. Bruzzone', '/profile/81100057213'), ('Marina Massei', '/profile/81351597684'), ('Simonluca Poggi', '/profile/81367593913')]"
109,Visualizing Social Media Sentiment in Disaster Scenarios,"[('Yafeng Lu', '/profile/99658718820'), ('Xia Hu', '/profile/81453623389'), ('Feng Wang', '/profile/81508682119'), ('Shamanth Kumar', '/profile/81500642291'), ('Huan Liu', '/profile/81367594306'), ('Ross Maciejewski', '/profile/81363590851')]"
110,Deep learning benchmarks and datasets for social media image classification for disaster response,"[('Firoj Alam', '/profile/99658645960'), ('Ferda Ofli', '/profile/81558202256'), ('Muhammad Imran', '/profile/81485650215'), ('Tanvirul Alam', '/profile/99659916770'), ('Umair Qazi', '/profile/99659537823')]"
111,Disaster Assessment from Satellite Imagery by Analysing Topographical Features Using Deep Learning,"[('Saramsha Dotel', '/profile/99659531106'), ('Avishekh Shrestha', '/profile/99659531972'), ('Anish Bhusal', '/profile/99659531810'), ('Ramesh Pathak', '/profile/99659531072'), ('Aman Shakya', '/profile/99659362733'), ('Sanjeeb Prasad Panday', '/profile/81461651767')]"
112,Investigating Collaboration Within Online Communities: Software Development vs. Artistic Creation,"[('Giuseppe Iaffaldano', '/profile/99659235360')]"
113,Networked Multi-Agent Reinforcement Learning with Emergent Communication,"[('Shubham Gupta', '/profile/99659338498'), ('Rishi Hazra', '/profile/99659530145'), ('Ambedkar Dukkipati', '/profile/99660268182')]"
114,Multi-Agent Curricula and Emergent Implicit Signaling,"[('Niko A. Grupen', '/profile/99660347840'), ('Daniel D. Lee', '/profile/99659448107'), ('Bart Selman', '/profile/81100362071')]"
115,Directedness and persistence in audio-visual interface for emergent users,"[('Abhishek Shrivastava', '/profile/81500650532'), ('Anirudha Joshi', '/profile/81100643208')]"
116,Security Challenges Posed by Quantum Computing on Emerging Technologies,"[('Abdelrahman Abuarqoub', '/profile/99658997366')]"
117,Phase transitions of opportunistic communication,"[('Pan Hui', '/profile/81548028286'), ('Anders Lindgren', '/profile/81100382794')]"
118,On Emergent Communication in Competitive Multi-Agent Teams,"[('Paul Pu Liang', '/profile/99659217897'), ('Jeffrey Chen', '/profile/99659286843'), ('Ruslan Salakhutdinov', '/profile/81100562217'), ('Louis-Philippe Morency', '/profile/81100300540'), ('Satwik Kottur', '/profile/99659232298')]"
119,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
120,Networked Multi-Agent Reinforcement Learning with Emergent Communication,"[('Shubham Gupta', '/profile/99659338498'), ('Rishi Hazra', '/profile/99659530145'), ('Ambedkar Dukkipati', '/profile/99660268182')]"
121,Towards energy-efficient UAV-assisted 5G internet of underwater things,"[('Sandeep Verma', '/profile/99660219721'), ('Shahbaz Akhtar', '/profile/99660609455'), ('Aneek Adhya', '/profile/81502804210'), ('Varun G Menon', '/profile/99659585964')]"
122,Emergence of community structures in vowel inventories: an analysis based on complex networks,"[('Animesh Mukherjee', '/profile/81100653390'), ('Monojit Choudhury', '/profile/81313483944'), ('Anupam Basu', '/profile/81100646311'), ('Niloy Ganguly', '/profile/81100305563')]"
123,Understanding and supporting emergent and temporary collaboration across and beyond community and organizational boundaries,"[('Khuloud Abou Amsha', '/profile/99659002714'), ('Erik Grönvall', '/profile/81100612707'), ('Joanna Saad-Sulonen', '/profile/81385594838'), ('Claus Bossen', '/profile/81100029076')]"
124,Performance assessment of real-time estimation of continuous-time stochastic volatility of financial data on GPUs,"[('Daniel Krulewich', '/profile/99658729283'), ('Junqi Yin', '/profile/99658618428'), ('Brent H. Bundick', '/profile/99658729429'), ('Yong Zeng', '/profile/99658729786')]"
125,Towards emergence of communication: a cognitive developmental robotics approach,"[('Minoru Asada', '/profile/81100515894')]"
126,Emergent semantics from game-induced folksonomies,"[('Lilian Weng', '/profile/81500645383'), ('Filippo Menczer', '/profile/81100513282')]"
127,Emergence of terminological conventions as an author-searcher coordination game,"[('David Bodoff', '/profile/81100630234'), ('Sheizaf Rafaeli', '/profile/81100505446')]"
128,Identifying emergent leadership in small groups using nonverbal communicative cues,"[('Dairazalia Sanchez-Cortes', '/profile/81447601944'), ('Oya Aran', '/profile/81321488810'), ('Marianne Schmid Mast', '/profile/81548025689'), ('Daniel Gatica-Perez', '/profile/81100273781')]"
129,Towards emergence of communication: a cognitive developmental robotics approach,"[('Minoru Asada', '/profile/81100515894')]"
130,A model for the configurable composition and synchronization of complex trading activities,"[('Yain-Whar Si', '/profile/99660230385'), ('David Edmond', '/profile/81100241814'), ('Arthur H. M. ter Hofstede', '/profile/81452617895'), ('Marlon Dumas', '/profile/81100557599')]"
131,Analyzing the UAVs Traffic Flow to Enhance the Drone's Anonymization on the Internet of Drones,"[('Alisson R. Svaigen', '/profile/99659279289'), ('Azzedine Boukerche', '/profile/81100118461'), ('Linnyer B. Ruiz', '/profile/81100630846'), ('Antonio A. F. Loureiro', '/profile/81100219450')]"
